Id_db,File,System,Version,Package,Release,Class,ExcessiveInterlangCommunication,Too much clustring,Too much Scattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,FilePath
1,OpenSSLSocketImpl.java,conscrypt,Snap_2,org.apache.harmony.xnet.provider.jsse,,OpenSSLSocketImpl,16,1,0,16,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\x-net\src\main\java\org\apache\harmony\xnet\provider\jsse\OpenSSLSocketImpl.java
2,NativeCrypto.java,conscrypt,Snap_2,org.apache.harmony.xnet.provider.jsse,,NativeCrypto,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\x-net\src\main\java\org\apache\harmony\xnet\provider\jsse\NativeCrypto.java
3,OpenSSLServerSocketImpl.java,conscrypt,Snap_2,org.apache.harmony.xnet.provider.jsse,,OpenSSLServerSocketImpl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\x-net\src\main\java\org\apache\harmony\xnet\provider\jsse\OpenSSLServerSocketImpl.java
4,OpenSSLSessionImpl.java,conscrypt,Snap_2,org.apache.harmony.xnet.provider.jsse,,OpenSSLSessionImpl,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\x-net\src\main\java\org\apache\harmony\xnet\provider\jsse\OpenSSLSessionImpl.java
5,SSLParameters.java,conscrypt,Snap_2,org.apache.harmony.xnet.provider.jsse,,SSLParameters,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\x-net\src\main\java\org\apache\harmony\xnet\provider\jsse\SSLParameters.java
6,MySecretKeyFactorySpi.java,conscrypt,Snap_2,org.apache.harmony.crypto.tests.support,,MySecretKeyFactorySpi,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\src\test\java\org\apache\harmony\crypto\tests\support\MySecretKeyFactorySpi.java
7,ServerHelloDone.java,conscrypt,Snap_2,org.apache.harmony.xnet.provider.jsse,,ServerHelloDone,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\x-net\src\main\java\org\apache\harmony\xnet\provider\jsse\ServerHelloDone.java
8,NullCipherSpi.java,conscrypt,Snap_2,org.apache.harmony.crypto.internal,,NullCipherSpi,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\src\main\java\org\apache\harmony\crypto\internal\NullCipherSpi.java
9,CipherSpiTest.java,conscrypt,Snap_2,org.apache.harmony.crypto.tests.javax.crypto,,myCipherSpi,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\src\test\java\org\apache\harmony\crypto\tests\javax\crypto\CipherSpiTest.java
10,ClientHandshakeImpl.java,conscrypt,Snap_2,org.apache.harmony.xnet.provider.jsse,,ClientHandshakeImpl,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\x-net\src\main\java\org\apache\harmony\xnet\provider\jsse\ClientHandshakeImpl.java
11,MyCipher.java,conscrypt,Snap_2,org.apache.harmony.crypto.tests.support,,MyCipher,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\src\test\java\org\apache\harmony\crypto\tests\support\MyCipher.java
12,MyExemptionMechanismSpi.java,conscrypt,Snap_2,org.apache.harmony.crypto.tests.support,,MyExemptionMechanismSpi,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\src\test\java\org\apache\harmony\crypto\tests\support\MyExemptionMechanismSpi.java
13,ServerSessionContext.java,conscrypt,Snap_2,org.apache.harmony.xnet.provider.jsse,,ServerSessionContext,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\x-net\src\main\java\org\apache\harmony\xnet\provider\jsse\ServerSessionContext.java
14,KeyAgreementThread.java,conscrypt,Snap_2,org.apache.harmony.crypto.tests.javax.crypto.func,,KeyAgreementThread,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\src\test\java\org\apache\harmony\crypto\tests\javax\crypto\func\KeyAgreementThread.java
15,MacSpiTest.java,conscrypt,Snap_2,org.apache.harmony.crypto.tests.javax.crypto,,MyMacSpi2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\src\test\java\org\apache\harmony\crypto\tests\javax\crypto\MacSpiTest.java
16,CipherSpi.java,conscrypt,Snap_2,javax.crypto,,CipherSpi,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\src\main\java\javax\crypto\CipherSpi.java
17,OpenSSLSignature.java,conscrypt,Snap_2,org.apache.harmony.xnet.provider.jsse,,OpenSSLSignature,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\x-net\src\main\java\org\apache\harmony\xnet\provider\jsse\OpenSSLSignature.java
18,KeyManagerImpl.java,conscrypt,Snap_2,org.apache.harmony.xnet.provider.jsse,,KeyManagerImpl,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\x-net\src\main\java\org\apache\harmony\xnet\provider\jsse\KeyManagerImpl.java
19,MyKeyAgreementSpi.java,conscrypt,Snap_2,org.apache.harmony.crypto.tests.support,,MyKeyAgreementSpi,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\src\test\java\org\apache\harmony\crypto\tests\support\MyKeyAgreementSpi.java
20,MyKeyGeneratorSpi.java,conscrypt,Snap_2,org.apache.harmony.crypto.tests.support,,MyKeyGeneratorSpi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\src\test\java\org\apache\harmony\crypto\tests\support\MyKeyGeneratorSpi.java
21,OpenSSLSocketImplWrapper.java,conscrypt,Snap_2,org.apache.harmony.xnet.provider.jsse,,OpenSSLSocketImplWrapper,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\x-net\src\main\java\org\apache\harmony\xnet\provider\jsse\OpenSSLSocketImplWrapper.java
22,KeyManagerFactoryImpl.java,conscrypt,Snap_2,org.apache.harmony.xnet.provider.jsse,,KeyManagerFactoryImpl,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\x-net\src\main\java\org\apache\harmony\xnet\provider\jsse\KeyManagerFactoryImpl.java
23,HelloRequest.java,conscrypt,Snap_2,org.apache.harmony.xnet.provider.jsse,,HelloRequest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\x-net\src\main\java\org\apache\harmony\xnet\provider\jsse\HelloRequest.java
24,TrustManagerFactoryImpl.java,conscrypt,Snap_2,org.apache.harmony.xnet.provider.jsse,,TrustManagerFactoryImpl,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\x-net\src\main\java\org\apache\harmony\xnet\provider\jsse\TrustManagerFactoryImpl.java
25,HandshakeIODataStream.java,conscrypt,Snap_2,org.apache.harmony.xnet.provider.jsse,,HandshakeIODataStream,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\x-net\src\main\java\org\apache\harmony\xnet\provider\jsse\HandshakeIODataStream.java
26,MyMacSpi.java,conscrypt,Snap_2,org.apache.harmony.crypto.tests.support,,MyMacSpi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_2\src\test\java\org\apache\harmony\crypto\tests\support\MyMacSpi.java
