Id_db,File,System,Version,Package,Release,Class,ExcessiveInterlangCommunication,Too much clustring,Too much Scattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,FilePath
1,Win32Service.java,jna,Snap_ 14,jnacontrib.win32,,Win32Service,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\contrib\ntservice\src\jnacontrib\win32\Win32Service.java
2,WindowUtils.java,jna,Snap_ 14,com.sun.jna.examples,,WindowUtils,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\src\com\sun\jna\examples\WindowUtils.java
3,Pointer.java,jna,Snap_ 14,com.sun.jna,,Pointer,23,1,0,0,0,40,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\src\com\sun\jna\Pointer.java
4,cls_uint.c,jna,Snap_ 14,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\native\libffi\testsuite\libffi.call\cls_uint.c
5,cls_float.c,jna,Snap_ 14,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\native\libffi\testsuite\libffi.call\cls_float.c
6,cls_sint.c,jna,Snap_ 14,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\native\libffi\testsuite\libffi.call\cls_sint.c
7,cls_align_double.c,jna,Snap_ 14,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\native\libffi\testsuite\libffi.call\cls_align_double.c
8,DropHandler.java,jna,Snap_ 14,com.sun.jna.examples.dnd,,DropHandler,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\src\com\sun\jna\examples\dnd\DropHandler.java
9,dlmalloc.c,jna,Snap_ 14,nan,,nan,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\native\libffi\src\dlmalloc.c
10,GhostedDragImageDemo.java,jna,Snap_ 14,com.sun.jna.examples.dnd,,GhostedDragImageDemo,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\src\com\sun\jna\examples\dnd\GhostedDragImageDemo.java
11,NativeLibrary.java,jna,Snap_ 14,com.sun.jna,,NativeLibrary,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\src\com\sun\jna\NativeLibrary.java
12,cls_24byte.c,jna,Snap_ 14,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\native\libffi\testsuite\libffi.call\cls_24byte.c
13,FilteredTextField.java,jna,Snap_ 14,nan,,FilteredTextField,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\contrib\balloontips\FilteredTextField.java
14,BalloonManager.java,jna,Snap_ 14,com.sun.jna.examples,,BalloonManager,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\src\com\sun\jna\examples\BalloonManager.java
15,ArgumentsMarshalTest.java,jna,Snap_ 14,com.sun.jna,,ArgumentsMarshalTest,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\test\com\sun\jna\ArgumentsMarshalTest.java
16,BalloonManagerDemo.java,jna,Snap_ 14,com.sun.jna.examples,,BalloonManagerDemo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\src\com\sun\jna\examples\BalloonManagerDemo.java
17,cls_9byte1.c,jna,Snap_ 14,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\native\libffi\testsuite\libffi.call\cls_9byte1.c
18,cls_ushort.c,jna,Snap_ 14,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\native\libffi\testsuite\libffi.call\cls_ushort.c
19,cls_19byte.c,jna,Snap_ 14,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\native\libffi\testsuite\libffi.call\cls_19byte.c
20,testlib.c,jna,Snap_ 14,nan,,nan,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\native\testlib.c
21,AlphaMaskDemo.java,jna,Snap_ 14,com.sun.jna.examples,,AlphaMaskDemo,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\src\com\sun\jna\examples\AlphaMaskDemo.java
22,AlphaMaskDemo2.java,jna,Snap_ 14,com.sun.jna.examples,,AlphaMaskDemo2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/jna_snapshots/jna_14\jnalib\src\com\sun\jna\examples\AlphaMaskDemo2.java
