Id_db,File,System,Version,Package,Release,Class,ExcessiveInterlangCommunication,Too much clustring,Too much Scattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,FilePath
1,Pointer.java,javacpp,Snap_1,com.googlecode.javacpp,,Pointer,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/javacpp_snapshots/javacpp_1\src\main\java\com\googlecode\javacpp\Pointer.java
2,SizeTPointer.java,javacpp,Snap_1,com.googlecode.javacpp,,SizeTPointer,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/javacpp_snapshots/javacpp_1\src\main\java\com\googlecode\javacpp\SizeTPointer.java
3,Loader.java,javacpp,Snap_1,com.googlecode.javacpp,,Loader,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/javacpp_snapshots/javacpp_1\src\main\java\com\googlecode\javacpp\Loader.java
4,IntPointer.java,javacpp,Snap_1,com.googlecode.javacpp,,IntPointer,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/javacpp_snapshots/javacpp_1\src\main\java\com\googlecode\javacpp\IntPointer.java
5,ShortPointer.java,javacpp,Snap_1,com.googlecode.javacpp,,ShortPointer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/javacpp_snapshots/javacpp_1\src\main\java\com\googlecode\javacpp\ShortPointer.java
6,PointerPointer.java,javacpp,Snap_1,com.googlecode.javacpp,,PointerPointer,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/javacpp_snapshots/javacpp_1\src\main\java\com\googlecode\javacpp\PointerPointer.java
7,CharPointer.java,javacpp,Snap_1,com.googlecode.javacpp,,CharPointer,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/javacpp_snapshots/javacpp_1\src\main\java\com\googlecode\javacpp\CharPointer.java
8,BoolPointer.java,javacpp,Snap_1,com.googlecode.javacpp,,BoolPointer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/javacpp_snapshots/javacpp_1\src\main\java\com\googlecode\javacpp\BoolPointer.java
9,CLongPointer.java,javacpp,Snap_1,com.googlecode.javacpp,,CLongPointer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/javacpp_snapshots/javacpp_1\src\main\java\com\googlecode\javacpp\CLongPointer.java
10,DoublePointer.java,javacpp,Snap_1,com.googlecode.javacpp,,DoublePointer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/javacpp_snapshots/javacpp_1\src\main\java\com\googlecode\javacpp\DoublePointer.java
11,FloatPointer.java,javacpp,Snap_1,com.googlecode.javacpp,,FloatPointer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/javacpp_snapshots/javacpp_1\src\main\java\com\googlecode\javacpp\FloatPointer.java
12,BytePointer.java,javacpp,Snap_1,com.googlecode.javacpp,,BytePointer,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/javacpp_snapshots/javacpp_1\src\main\java\com\googlecode\javacpp\BytePointer.java
13,LongPointer.java,javacpp,Snap_1,com.googlecode.javacpp,,LongPointer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/new-downloads/javacpp_snapshots/javacpp_1\src\main\java\com\googlecode\javacpp\LongPointer.java
