Id_db,File,System,Version,Package,Release,Class,ExcessiveInterlangCommunication,Too much clustring,Too much Scattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,FilePath
1,util.cpp,realm-java,Snap_ 14,nan,,nan,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,C:/DetectionNewVersion27-02/realm-java_snapshots/realm-java_14\realm\realm-jni\src\util.cpp
2,mixedutil.cpp,realm-java,Snap_ 14,nan,,nan,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,C:/DetectionNewVersion27-02/realm-java_snapshots/realm-java_14\realm\realm-jni\src\mixedutil.cpp
3,columntypeutil.cpp,realm-java,Snap_ 14,nan,,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C:/DetectionNewVersion27-02/realm-java_snapshots/realm-java_14\realm\realm-jni\src\columntypeutil.cpp
4,TableSpecUtil.cpp,realm-java,Snap_ 14,nan,,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C:/DetectionNewVersion27-02/realm-java_snapshots/realm-java_14\realm\realm-jni\src\TableSpecUtil.cpp
5,java_lang_List_Util.cpp,realm-java,Snap_ 14,nan,,nan,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,C:/DetectionNewVersion27-02/realm-java_snapshots/realm-java_14\realm\realm-jni\src\java_lang_List_Util.cpp
6,io_realm_internal_Util.cpp,realm-java,Snap_ 14,nan,,nan,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,C:/DetectionNewVersion27-02/realm-java_snapshots/realm-java_14\realm\realm-jni\src\io_realm_internal_Util.cpp
7,RealmCore.java,realm-java,Snap_ 14,io.realm.internal,,RealmCore,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,C:/DetectionNewVersion27-02/realm-java_snapshots/realm-java_14\realm\realm-library\src\main\java\io\realm\internal\RealmCore.java
8,TableView.java,realm-java,Snap_ 14,io.realm.internal,,TableView,67,1,0,0,1,6,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/realm-java_snapshots/realm-java_14\realm\realm-library\src\main\java\io\realm\internal\TableView.java
9,SharedGroup.java,realm-java,Snap_ 14,io.realm.internal,,SharedGroup,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/realm-java_snapshots/realm-java_14\realm\realm-library\src\main\java\io\realm\internal\SharedGroup.java
10,InvalidRow.java,realm-java,Snap_ 14,io.realm.internal,,nan,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,C:/DetectionNewVersion27-02/realm-java_snapshots/realm-java_14\realm\realm-library\src\main\java\io\realm\internal\InvalidRow.java
