Id_db,File,System,Version,Package,Release,Class,ExcessiveInterlangCommunication,Too much clustring,Too much Scattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,FilePath
1,Mathsat5NativeApi.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.mathsat5,,Mathsat5NativeApi,0,1,0,236,0,0,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\mathsat5\Mathsat5NativeApi.java
2,Z3SolverContext.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.z3,,Z3SolverContext,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\z3\Z3SolverContext.java
3,FormulaCollectionScript.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.smtinterpol,,FormulaCollectionScript,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\smtinterpol\FormulaCollectionScript.java
4,SolverTacticsTest.java,java-smt,Snap_5,org.sosy_lab.java_smt.test,,SolverTacticsTest,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\test\SolverTacticsTest.java
5,FormulaTransformationVisitorImpl.java,java-smt,Snap_5,org.sosy_lab.java_smt.basicimpl,,FormulaTransformationVisitorImpl,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\basicimpl\FormulaTransformationVisitorImpl.java
6,DefaultBooleanFormulaVisitor.java,java-smt,Snap_5,org.sosy_lab.java_smt.api.visitors,,DefaultBooleanFormulaVisitor<R>,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\api\visitors\DefaultBooleanFormulaVisitor.java
7,PrincessFormulaCreator.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.princess,,PrincessFormulaCreator,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\princess\PrincessFormulaCreator.java
8,Mathsat5InterpolatingProver.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.mathsat5,,Mathsat5InterpolatingProver,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\mathsat5\Mathsat5InterpolatingProver.java
9,CVC4FormulaCreator.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.cvc4,,CVC4FormulaCreator,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\cvc4\CVC4FormulaCreator.java
10,BooleanFormulaTransformationVisitor.java,java-smt,Snap_5,org.sosy_lab.java_smt.api.visitors,,BooleanFormulaTransformationVisitor,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\api\visitors\BooleanFormulaTransformationVisitor.java
11,AbstractNumeralFormulaManager.java,java-smt,Snap_5,org.sosy_lab.java_smt.basicimpl,,AbstractNumeralFormulaManager<,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\basicimpl\AbstractNumeralFormulaManager.java
12,DefaultFormulaVisitor.java,java-smt,Snap_5,org.sosy_lab.java_smt.api.visitors,,DefaultFormulaVisitor<R>,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\api\visitors\DefaultFormulaVisitor.java
13,AbstractBooleanFormulaManager.java,java-smt,Snap_5,org.sosy_lab.java_smt.basicimpl,,AbstractBooleanFormulaManager<TFormulaInfo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\basicimpl\AbstractBooleanFormulaManager.java
14,CVC4Model.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.cvc4,,CVC4Model,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\cvc4\CVC4Model.java
15,CVC4TheoremProver.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.cvc4,,CVC4TheoremProver,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\cvc4\CVC4TheoremProver.java
16,FormulaTransformationVisitor.java,java-smt,Snap_5,org.sosy_lab.java_smt.api.visitors,,FormulaTransformationVisitor,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\api\visitors\FormulaTransformationVisitor.java
17,ExpectedFormulaVisitor.java,java-smt,Snap_5,org.sosy_lab.java_smt.api.visitors,,ExpectedFormulaVisitor<R>,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\api\visitors\ExpectedFormulaVisitor.java
18,PrincessFunctionDeclaration.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.princess,,PrincessFunctionDeclaration,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\princess\PrincessFunctionDeclaration.java
19,Mathsat5TheoremProver.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.mathsat5,,Mathsat5TheoremProver,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\mathsat5\Mathsat5TheoremProver.java
20,Mathsat5OptimizationProver.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.mathsat5,,Mathsat5OptimizationProver,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\mathsat5\Mathsat5OptimizationProver.java
21,CVC4FormulaManager.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.cvc4,,CVC4FormulaManager,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\cvc4\CVC4FormulaManager.java
22,SmtInterpolFormulaCreator.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.smtinterpol,,SmtInterpolFormulaCreator,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\smtinterpol\SmtInterpolFormulaCreator.java
23,AbstractFormulaManager.java,java-smt,Snap_5,org.sosy_lab.java_smt.basicimpl,,AbstractFormulaManager<TFormulaInfo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\basicimpl\AbstractFormulaManager.java
24,PrincessAbstractProver.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.princess,,PrincessAbstractProver<E,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\princess\PrincessAbstractProver.java
25,PrincessInterpolatingProver.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.princess,,PrincessInterpolatingProver,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\princess\PrincessInterpolatingProver.java
26,NNFVisitor.java,java-smt,Snap_5,org.sosy_lab.java_smt.basicimpl.tactics,,NNFVisitor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\basicimpl\tactics\NNFVisitor.java
27,LogProxyForwarder.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.smtinterpol,,LogProxyForwarder,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\smtinterpol\LogProxyForwarder.java
28,Mathsat5BitvectorFormulaManager.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.mathsat5,,Mathsat5BitvectorFormulaManager,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\mathsat5\Mathsat5BitvectorFormulaManager.java
29,CVC4SolverContext.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.cvc4,,CVC4SolverContext,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\cvc4\CVC4SolverContext.java
30,Z3BitvectorFormulaManager.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.z3,,Z3BitvectorFormulaManager,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\z3\Z3BitvectorFormulaManager.java
31,PrincessTheoremProver.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.princess,,PrincessTheoremProver,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\princess\PrincessTheoremProver.java
32,HoudiniApp.java,java-smt,Snap_5,org.sosy_lab.java_smt.example,,HoudiniApp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\example\HoudiniApp.java
33,SmtInterpolBasicProver.java,java-smt,Snap_5,org.sosy_lab.java_smt.solvers.smtinterpol,,SmtInterpolBasicProver<T,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/java-smt_snapshots/java-smt_5\src\org\sosy_lab\java_smt\solvers\smtinterpol\SmtInterpolBasicProver.java
