Id_db,File,System,Version,Package,Release,Class,ExcessiveInterlangCommunication,Too much clustring,Too much Scattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,FilePath
1,TAOObject.java,OpenDDS,Snap_ 19,i2jrt,,TAOObject,0,1,0,6,0,10,0,0,0,0,1,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\idl2jni\runtime\i2jrt\TAOObject.java
2,ORB.java,OpenDDS,Snap_ 19,i2jrt,,ORB,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\idl2jni\runtime\i2jrt\ORB.java
3,TheServiceParticipant.java,OpenDDS,Snap_ 19,OpenDDS.DCPS,,TheServiceParticipant,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\dds\OpenDDS\DCPS\TheServiceParticipant.java
4,TheTransportFactory.java,OpenDDS,Snap_ 19,OpenDDS.DCPS.transport,,TheTransportFactory,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\dds\OpenDDS\DCPS\transport\TheTransportFactory.java
5,TransportImpl.java,OpenDDS,Snap_ 19,OpenDDS.DCPS.transport,,TransportImpl,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\dds\OpenDDS\DCPS\transport\TransportImpl.java
6,WaitSet.java,OpenDDS,Snap_ 19,DDS,,WaitSet,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\dds\DDS\WaitSet.java
7,TheParticipantFactory.java,OpenDDS,Snap_ 19,OpenDDS.DCPS,,TheParticipantFactory,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\dds\OpenDDS\DCPS\TheParticipantFactory.java
8,UdpConfiguration.java,OpenDDS,Snap_ 19,OpenDDS.DCPS.transport,,UdpConfiguration,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\dds\OpenDDS\DCPS\transport\UdpConfiguration.java
9,DCPSInfoRepo.java,OpenDDS,Snap_ 19,org.opendds.jms,,DCPSInfoRepo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\jms\native\org\opendds\jms\DCPSInfoRepo.java
10,NativeLoader.java,OpenDDS,Snap_ 19,org.opendds.jms.common.util,,NativeLoader,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\jms\src\org\opendds\jms\common\util\NativeLoader.java
11,ConsumerDataReaderListener.java,OpenDDS,Snap_ 19,org.opendds.jms,,ConsumerDataReaderListener,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\jms\src\org\opendds\jms\ConsumerDataReaderListener.java
12,ResourceAdapterImpl.java,OpenDDS,Snap_ 19,org.opendds.jms.resource,,ResourceAdapterImpl,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\jms\src\org\opendds\jms\resource\ResourceAdapterImpl.java
13,LivelinessQosPolicyItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,LivelinessQosPolicyItemProvider,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\LivelinessQosPolicyItemProvider.java
14,OpenDDSSwitch.java,OpenDDS,Snap_ 19,OpenDDS,,OpenDDSSwitch<T>,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.model\src\OpenDDS\OpenDDSSwitch.java
15,DataReaderListenerImpl.java,OpenDDS,Snap_ 19,nan,,DataReaderListenerImpl,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\tests\messenger\subscriber\DataReaderListenerImpl.java
16,ConnectionImpl.java,OpenDDS,Snap_ 19,org.opendds.jms,,ConnectionImpl,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\jms\src\org\opendds\jms\ConnectionImpl.java
17,OpenDDSAdapterFactory.java,OpenDDS,Snap_ 19,OpenDDS,,OpenDDSAdapterFactory,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.model\src\OpenDDS\OpenDDSAdapterFactory.java
18,TransportPriorityQosPolicyItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,TransportPriorityQosPolicyItemProvider,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\TransportPriorityQosPolicyItemProvider.java
19,MessageProducerImpl.java,OpenDDS,Snap_ 19,org.opendds.jms,,MessageProducerImpl,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\jms\src\org\opendds\jms\MessageProducerImpl.java
20,ApplicationTargetItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,ApplicationTargetItemProvider,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\ApplicationTargetItemProvider.java
21,TopicDataQosPolicyItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,TopicDataQosPolicyItemProvider,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\TopicDataQosPolicyItemProvider.java
22,OwnershipStrengthQosPolicyItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,OwnershipStrengthQosPolicyItemProvider,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\OwnershipStrengthQosPolicyItemProvider.java
23,DomainParticipantItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,DomainParticipantItemProvider,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\DomainParticipantItemProvider.java
24,DurabilityServiceQosPolicyItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,DurabilityServiceQosPolicyItemProvider,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\DurabilityServiceQosPolicyItemProvider.java
25,PublisherSubscriberItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,PublisherSubscriberItemProvider,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\PublisherSubscriberItemProvider.java
26,UnionItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,UnionItemProvider,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\UnionItemProvider.java
27,OpenDDSFactoryImpl.java,OpenDDS,Snap_ 19,OpenDDS,,OpenDDSFactoryImpl,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.model\src\OpenDDS\OpenDDSFactoryImpl.java
28,PresentationQosPolicyItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,PresentationQosPolicyItemProvider,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\PresentationQosPolicyItemProvider.java
29,CaseItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,CaseItemProvider,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\CaseItemProvider.java
30,TypeModelItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,TypeModelItemProvider,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\TypeModelItemProvider.java
31,TopicItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,TopicItemProvider,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\TopicItemProvider.java
32,DataReaderItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,DataReaderItemProvider,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\DataReaderItemProvider.java
33,ContentFilteredTopicItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,ContentFilteredTopicItemProvider,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\ContentFilteredTopicItemProvider.java
34,DataWriterItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,DataWriterItemProvider,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\DataWriterItemProvider.java
35,DestinationOrderQosPolicyItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,DestinationOrderQosPolicyItemProvider,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\DestinationOrderQosPolicyItemProvider.java
36,ConnectionFactoryImpl.java,OpenDDS,Snap_ 19,org.opendds.jms,,ConnectionFactoryImpl,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\jms\src\org\opendds\jms\ConnectionFactoryImpl.java
37,LatencyBudgetQosPolicyItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,LatencyBudgetQosPolicyItemProvider,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\LatencyBudgetQosPolicyItemProvider.java
38,ArrayItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,ArrayItemProvider,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\ArrayItemProvider.java
39,LifespanQosPolicyItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,LifespanQosPolicyItemProvider,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\LifespanQosPolicyItemProvider.java
40,MessageDeliveryHelper.java,OpenDDS,Snap_ 19,org.opendds.jms,,MessageDeliveryHelper,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\jms\src\org\opendds\jms\MessageDeliveryHelper.java
41,AbstractMessageImpl.java,OpenDDS,Snap_ 19,org.opendds.jms,,AbstractMessageImpl,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\jms\src\org\opendds\jms\AbstractMessageImpl.java
42,SessionImpl.java,OpenDDS,Snap_ 19,org.opendds.jms,,SessionImpl,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\java\jms\src\org\opendds\jms\SessionImpl.java
43,PartitionQosPolicyItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,PartitionQosPolicyItemProvider,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\PartitionQosPolicyItemProvider.java
44,OpenDDSEditor.java,OpenDDS,Snap_ 19,OpenDDS,,OpenDDSEditor,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.editor\src\OpenDDS\OpenDDSEditor.java
45,EntityItemProvider.java,OpenDDS,Snap_ 19,OpenDDS,,EntityItemProvider,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_19\tools\modeling\plugins\org.opendds.modeling.edit\src\OpenDDS\EntityItemProvider.java
