Id_db,File,System,Version,Package,Release,Class,ExcessiveInterlangCommunication,Too much clustring,Too much Scattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,FilePath
1,Relation.c,pljava,Snap_3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D:/Mona/new-downloads/pljava_snapshots/pljava_3\src\C\pljava\type\Relation.c
2,TupleDesc.c,pljava,Snap_3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D:/Mona/new-downloads/pljava_snapshots/pljava_3\src\C\pljava\type\TupleDesc.c
3,SPIConnection.java,pljava,Snap_3,org.postgresql.pljava.jdbc,,SPIConnection,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/pljava_snapshots/pljava_3\src\java\org\postgresql\pljava\jdbc\SPIConnection.java
4,ReadOnlyResultSet.java,pljava,Snap_3,org.postgresql.pljava.jdbc,,ReadOnlyResultSet,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/pljava_snapshots/pljava_3\src\java\org\postgresql\pljava\jdbc\ReadOnlyResultSet.java
5,SPIDriver.java,pljava,Snap_3,org.postgresql.pljava.jdbc,,SPIDriver,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/pljava_snapshots/pljava_3\src\java\org\postgresql\pljava\jdbc\SPIDriver.java
6,SPIPreparedStatement.java,pljava,Snap_3,org.postgresql.pljava.jdbc,,SPIPreparedStatement,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/pljava_snapshots/pljava_3\src\java\org\postgresql\pljava\jdbc\SPIPreparedStatement.java
7,SingleTupleReader.java,pljava,Snap_3,org.postgresql.pljava.jdbc,,SingleTupleReader,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/pljava_snapshots/pljava_3\src\java\org\postgresql\pljava\jdbc\SingleTupleReader.java
8,ClobValue.java,pljava,Snap_3,org.postgresql.pljava.jdbc,,ClobValue,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/pljava_snapshots/pljava_3\src\java\org\postgresql\pljava\jdbc\ClobValue.java
9,SPIStatement.java,pljava,Snap_3,org.postgresql.pljava.jdbc,,SPIStatement,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/pljava_snapshots/pljava_3\src\java\org\postgresql\pljava\jdbc\SPIStatement.java
10,BlobValue.java,pljava,Snap_3,org.postgresql.pljava.jdbc,,BlobValue,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/pljava_snapshots/pljava_3\src\java\org\postgresql\pljava\jdbc\BlobValue.java
11,SPIResultSet.java,pljava,Snap_3,org.postgresql.pljava.jdbc,,SPIResultSet,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/pljava_snapshots/pljava_3\src\java\org\postgresql\pljava\jdbc\SPIResultSet.java
12,Void.c,pljava,Snap_3,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/pljava_snapshots/pljava_3\src\C\pljava\type\Void.c
13,SPIParameterMetaData.java,pljava,Snap_3,org.postgresql.pljava.jdbc,,SPIParameterMetaData,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/pljava_snapshots/pljava_3\src\java\org\postgresql\pljava\jdbc\SPIParameterMetaData.java
14,SingleRowWriter.c,pljava,Snap_3,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/pljava_snapshots/pljava_3\src\C\pljava\type\SingleRowWriter.c
15,SingleRowReader.java,pljava,Snap_3,org.postgresql.pljava.jdbc,,SingleRowReader,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/pljava_snapshots/pljava_3\src\java\org\postgresql\pljava\jdbc\SingleRowReader.java
