Id_db,File,System,Version,Package,Release,Class,ExcessiveInterlangCommunication,Too much clustring,Too much Scattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,FilePath
1,NativeLibraryLoader.java,rocksdb,Snap_20,org.rocksdb,,NativeLibraryLoader,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_20\java\src\main\java\org\rocksdb\NativeLibraryLoader.java
2,RocksDB.java,rocksdb,Snap_20,org.rocksdb,,RocksDB,30,1,0,8,0,0,0,0,0,0,4,0,2,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_20\java\src\main\java\org\rocksdb\RocksDB.java
3,DbBenchmark.java,rocksdb,Snap_20,org.rocksdb.benchmark,,DbBenchmark,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_20\java\benchmark\src\main\java\org\rocksdb\benchmark\DbBenchmark.java
4,ttl.cc,rocksdb,Snap_20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_20\java\rocksjni\ttl.cc
5,RestoreBackupableDB.java,rocksdb,Snap_20,org.rocksdb,,RestoreBackupableDB,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_20\java\src\main\java\org\rocksdb\RestoreBackupableDB.java
6,ColumnFamilyOptions.java,rocksdb,Snap_20,org.rocksdb,,ColumnFamilyOptions,87,1,0,1,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_20\java\src\main\java\org\rocksdb\ColumnFamilyOptions.java
7,Options.java,rocksdb,Snap_20,org.rocksdb,,Options,152,1,0,1,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_20\java\src\main\java\org\rocksdb\Options.java
8,internal_stats.cc,rocksdb,Snap_20,rocksdb,,,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_20\db\internal_stats.cc
9,db_compaction_filter_test.cc,rocksdb,Snap_20,rocksdb,,KeepFilter,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_20\db\db_compaction_filter_test.cc
10,document_db.cc,rocksdb,Snap_20,rocksdb,,DocumentDBImpl,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_20\utilities\document\document_db.cc
11,transaction_impl.cc,rocksdb,Snap_20,rocksdb,,Handler,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_20\utilities\transactions\transaction_impl.cc
12,StatsCallbackMock.java,rocksdb,Snap_20,org.rocksdb,,StatsCallbackMock,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_20\java\src\test\java\org\rocksdb\StatsCallbackMock.java
13,db_test.cc,rocksdb,Snap_20,rocksdb,,ModelDB,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_20\db\db_test.cc
