Topic_no,Keywords,Contrib,System,Text
11,"android, add, cleanup, fix, issue, file, update, remove, work, refactor, make, bug, check, status, avoid, time, change, detail, build, android_transfer",0.0891,conscrypt,"Remove all remaining Android"" tags. Ive fixed a few typos, and removed a few of the more egregiously nonsensical or incorrect comments that were nearby. Change-Id: I35851baebd532f949cc269f4738a26eeb9b6e697/"
,,0.0718,conscrypt,Provide key context Bug: 6249185 Make the key context available. Change-Id: I51967e2a164b3f83d5d5096add7199c3a121da06/
,,0.0731,conscrypt,NativeCrypto: throw instead of return null We should not return null for items that cannot be extracted. Instead throw UnsupportedOperationException so we dont break the API contract. Change-Id: I09b0854c36f02b5b7ead2fb802f1454353b4cf6e/
,,0.0824,conscrypt,NativeCrypto: throw instead of return null We should not return null for items that cannot be extracted. Instead throw UnsupportedOperationException so we dont break the API contract. Change-Id: I09b0854c36f02b5b7ead2fb802f1454353b4cf6e/
,,0.1802,conscrypt,"am 760b14cc: am da8fb260: am dd9517dc: OpenSSLRandom: throw exception when seed null * commit 760b14cc3b74e4ee8e7c5bcf6ac501d8e6dada7e: OpenSSLRandom: throw exception when seed null/am da8fb260: am dd9517dc: OpenSSLRandom: throw exception when seed null * commit da8fb260da6ead44742f0a18bb18a698d060babe: OpenSSLRandom: throw exception when seed null/am dd9517dc: OpenSSLRandom: throw exception when seed null * commit dd9517dc39949ad6e7eac56e6960cf2b77927186: OpenSSLRandom: throw exception when seed null/OpenSSLRandom: throw exception when seed null Even though we dont really pay attention to the seed given to us, we should throw NullPointerException since someone calling with a null parameter is probably making a mistake anyway. Bug: 20521744 Change-Id: Ib274c4abc059b6e4d3eb6cf95d30fec605284948/"
,,0.0776,conscrypt,"OpenSSLX509CertPath: add null check in fromEncoding(InputStream) Note the null check was in fromEncoding(InputStream, String) already. Bug: 25926066 Change-Id: Ic4a0d514c6b8e6d8af349a8202f26854f6975cd6/"
,,0.0725,conscrypt,Remove unused imports left over from removing OpenSSL code Test: lunch aosp_bullhead-userdebug; make Change-Id: I5b8cdcfbe45a866005209ed2e6f365a1378d46d5/
,,0.0657,conscrypt,OpenSSLRandom: remove unused field Test: lunch aosp_bullhead-userdebug; make Change-Id: I1784de74d2cbab1a6a7f85deaeaff8bde32ef109/
,,0.0687,conscrypt,Remove unused imports left over from removing OpenSSL code Test: lunch aosp_bullhead-userdebug; make Change-Id: I5b8cdcfbe45a866005209ed2e6f365a1378d46d5/
,,0.0782,conscrypt,Remove unused imports left over from removing OpenSSL code Test: lunch aosp_bullhead-userdebug; make Change-Id: I5b8cdcfbe45a866005209ed2e6f365a1378d46d5/
,,0.0929,conscrypt,Improve performance of OpenSSLEngine Test: cts-tradefed run cts CtsLibcoreTestCases arm64-v8a Test: cts-tradefed run cts CtsLibcoreOkHttpTestCases arm64-v8a Change-Id: I947bd3701e90bd65104f8f5c07ba218c4e051944/
,,0.0687,conscrypt,Deprecate PSKKeyManager PSKKeyManager does not work with upcoming TLS 1.3. The abstraction is likely to be completely removed in the future. Test: mmm external/conscrypt Bug: 30978706 Change-Id: Ide79411828ca35da2212713681e3f4c80213abcd/
,,0.091,conscrypt,Improve performance of OpenSSLEngine Test: cts-tradefed run cts CtsLibcoreTestCases arm64-v8a Test: cts-tradefed run cts CtsLibcoreOkHttpTestCases arm64-v8a Change-Id: I947bd3701e90bd65104f8f5c07ba218c4e051944/
,,0.1438,conscrypt,"Locking down public APIs (#157) Tried to be as aggressive as I could, so this probably deserves a fairly thorough review. I left most of OpenSSLSocketImpl public, because I think its needed by a few external projects. I also did some cleanup work to get rid of a bunch of compiler warnings that we seem to have accumulated. Fixes"
,,0.1419,conscrypt,"Locking down public APIs (#157) Tried to be as aggressive as I could, so this probably deserves a fairly thorough review. I left most of OpenSSLSocketImpl public, because I think its needed by a few external projects. I also did some cleanup work to get rid of a bunch of compiler warnings that we seem to have accumulated. Fixes"
