Topic_no,Keywords,Contrib,System,Text
17,"revision_pulle, summary, closes_differential, pull_request, resolved_differential, fbshipit_source, yiwu_arbug, maysamyabandeh_fbshipit, ajkr_fbshipit, pr, ad, sagar_fbshipit, riversand_fbshipit, call, sst_file, range_tombstone, siying_fbshipit, part, include, rocksdb",0.0763,OpenDDS,return const char* since only dealing with string literals/Remove use of streams when interacting with Guid and GuidConverter. Added header for stream includes allowed/not allowed in SafetyProfile/
,,0.063,pljava,Coersion for getXXX now applies to updateXXX as well/
,,0.0628,pljava,Added BlobValue coersion to the bytea type./
,,0.0648,rocksdb,Remove usage of C runtime API that has file handle limitation/
,,0.166,rocksdb,"Optimize sequential insert into memtable Part 2: Implementation Summary: Implement a insert hint into skip-list to hint insert position. This is to optimize for the write workload where there are multiple stream of sequential writes. For example, there is a stream of keys of a1, a2, a3... but also b1, b2, b2... Each stream are not neccessary strictly sequential, but can get reorder a little bit. User can specify a prefix extractor and the `SkipListRep` can thus maintan a hint for each of the stream for fast insert into memtable. This is the internal implementation part. See for the interface part. See inline comments for details. Closes Differential Revision: D4106781 Pulled By: yiwu-arbug fbshipit-source-id: f4d48c4/"
,,0.1357,rocksdb,"DeleteRange flush support Summary: Changed BuildTable() (used for flush) to (1) add range tombstones to the aggregator, which is used by CompactionIterator to determine which keys can be removed; and (2) add aggregators range tombstones to the table that is output for the flush. Closes Differential Revision: D4100025 Pulled By: ajkr fbshipit-source-id: cb01a70/"
,,0.1194,rocksdb,"DeleteRange flush support Summary: Changed BuildTable() (used for flush) to (1) add range tombstones to the aggregator, which is used by CompactionIterator to determine which keys can be removed; and (2) add aggregators range tombstones to the table that is output for the flush. Closes Differential Revision: D4100025 Pulled By: ajkr fbshipit-source-id: cb01a70/Add TableBuilderOptions::level and relevant changes (#1335)/"
,,0.1647,rocksdb,"Optimize sequential insert into memtable Part 2: Implementation Summary: Implement a insert hint into skip-list to hint insert position. This is to optimize for the write workload where there are multiple stream of sequential writes. For example, there is a stream of keys of a1, a2, a3... but also b1, b2, b2... Each stream are not neccessary strictly sequential, but can get reorder a little bit. User can specify a prefix extractor and the `SkipListRep` can thus maintan a hint for each of the stream for fast insert into memtable. This is the internal implementation part. See for the interface part. See inline comments for details. Closes Differential Revision: D4106781 Pulled By: yiwu-arbug fbshipit-source-id: f4d48c4/"
,,0.1184,rocksdb,"DeleteRange flush support Summary: Changed BuildTable() (used for flush) to (1) add range tombstones to the aggregator, which is used by CompactionIterator to determine which keys can be removed; and (2) add aggregators range tombstones to the table that is output for the flush. Closes Differential Revision: D4100025 Pulled By: ajkr fbshipit-source-id: cb01a70/Split DBOptions into ImmutableDBOptions and MutableDBOptions Summary: Use ImmutableDBOptions/MutableDBOptions internally and DBOptions only for user-facing APIs. MutableDBOptions is barely a placeholder for now. Ill start to move options to MutableDBOptions in following diffs. Test Plan: make all check Reviewers: yhchiang, IslamAbdelRahman, sdong Reviewed By: sdong Subscribers: andrewkr, dhruba, leveldb Differential Revision:"
,,0.0905,rocksdb,Fix rocksdb::Status::getState Summary: This fixes the Java API for Status#getState use in Native code and also simplifies the implementation of rocksdb::Status::getState. Closes Closes Differential Revision: D4364181 Pulled By: yiwu-arbug fbshipit-source-id: 8e073b4/
,,0.1511,rocksdb,disable UBSAN for functions with intentional shift / overflow Summary: disable UBSAN for functions with intentional left shift on number / overflow These functions are rocksdb:: Hash FixedLengthColBufEncoder::Append FaultInjectionTest:: Key Closes Differential Revision: D4240801 Pulled By: IslamAbdelRahman fbshipit-source-id: 3e1caf6/
,,0.0987,rocksdb,Remove sst_file_manager option from LITE Summary: Remove sst_file_manager option from LITE Closes Differential Revision: D4341331 Pulled By: IslamAbdelRahman fbshipit-source-id: 9f9328d/
,,0.1023,rocksdb,Gcc 7 fallthrough Summary: hopefully the last of the gcc-7 compile errors Closes Differential Revision: D4332106 Pulled By: IslamAbdelRahman fbshipit-source-id: 139448c/
,,0.0987,rocksdb,Remove sst_file_manager option from LITE Summary: Remove sst_file_manager option from LITE Closes Differential Revision: D4341331 Pulled By: IslamAbdelRahman fbshipit-source-id: 9f9328d/
,,0.0938,rocksdb,Implement PositionedAppend for PosixWritableFile Summary: This patch clarifies the contract of PositionedAppend with some unit tests and also implements it for PosixWritableFile. (Tasks: 14524071) Closes Differential Revision: D4204907 Pulled By: maysamyabandeh fbshipit-source-id: 06eabd2/
