,Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.6141,"summary, test_plan, reviewer, differential_revision, review, run, test, delete, db_stress, file, unit, check, add, set, unit_test, memtable, find, make_check, make, size",
1,1.0,0.6268,"test, add, unit, fail, performance, exist, close, update, implement, main, failure, remove, main_file, case, issue, make, string, attempt, cacert, support",
2,2.0,0.7897,"change, support, call, pass, move, implement, remove, object, create, implementation, method, enable, bug, native, harmony_xnet, main_java, instance, constructor, request, share",
3,3.0,0.5923,"commit, transaction, call, snapshot, create, check, update, object, close, process, cache, handle, release, crash, bug, failure, set, maysamyabandeh_fbshipit, patch, optimization",
4,4.0,0.6076,"test_plan, summary, reviewer, sdong_reviewe, revision, sdong_subscriber, diff, column_family, leveldb_differential, make, differential_revision, dhruba_haobo, igor_reviewe, table, column_familie, option, igor_subscriber, unit, property, family",
5,5.0,0.6041,"file, compaction, level, delete, set, base, number, time, case, compact, open, current, change, default, large, move, overlap, fail, range, flush",
6,6.0,0.7155,"option, summary, level, test_plan, log, reviewer, run, compaction, review, write, differential_revision, output, statistic, make, stat, read, compression, rate, number, rocksdb",
7,7.0,0.5628,"add, fix, change, type, check, field, realm, update, support, exception, remove, throw, internal, null, string, object, core, realmresult, annotation_processor, empty",
8,8.0,0.6583,"write, flush, thread, error, memtable, compaction, wait, call, operation, user, time, lock, recovery, finish, commit, case, stat, trigger, follow, background",
9,9.0,0.9306,"android, fix, add, cleanup, update, issue, refactor, detail, show, work, remove, fragment, move, transfer, start, common, set, file, stop, block_cache",
10,10.0,0.4551,"make, change, log, unit_test, read, number, sequence, dai, patch, break, error, record, correct, env, remove, run, avoid, creation, order, build",
11,11.0,0.5156,"issue, pointer, type, parameter, default, address, git_svn, add, library, platform, annotation, fix, function, set, build, class, variable, testing, info, generate",
12,12.0,0.8614,"dcps_transport, transport_framework, message, cpp, transport, inl_dds, dcps, transport_simpletcp, fix, change, reader, participant, writer, update, time, add, send, task, security, topic",
13,13.0,0.7849,"key, result, filter, datum, add, single, change, implementation, merge, bloom_filter, run, size, patch, bit, query, resolve, fix, differential_revision, base, manual_compaction",
14,14.0,0.7241,"summary, reviewer, test_plan, support, review, build, revision, rocksdb, leveldb, leveldb_differential, case, memtable, source, write, differential_revision, dhruba, number, work, emayanke_reviewe, exist",
15,15.0,0.6132,"block, read, key, file, index, summary, sst_file, check, range_deletion, make, size, change, property, end, range, format, add, write, tombstone, blob",
16,16.0,0.7511,"user, key, introduce, memtable, copy, performance, case, summary, number, memory, reduce, size, store, buffer, improve, avoid, datum, current, benchmark, improvement",
17,17.0,0.5765,"revision_pulle, summary, closes_differential, pull_request, resolved_differential, fbshipit_source, yiwu_arbug, maysamyabandeh_fbshipit, ajkr_fbshipit, pr, ad, sagar_fbshipit, riversand_fbshipit, call, sst_file, range_tombstone, siying_fbshipit, part, include, rocksdb",
18,18.0,0.5095,"option, table, support, rocksdb, case, format, cc, access, fail, user, exist, feature, information, true, interface, pass, expose, enable, handle, follow",
19,19.0,0.6925,"iterator, adam_mitz, change, make, status, seek, support, key, readseq_micro, make_sure, case, error, mitz, dbiter, update, transportinst_object, datum, pass, diff, return",
