Topic_no,Keywords,Contrib,System,Text
10,"file, option, fbshipit_source, user, time, create, comment_unuse, operation, implementation, revision, methods_lambda, handle_fixe, igorsugak_differential, fbcode_case, clang_tidy, summary_use, tool_failed, parameters_function, read, function",0.212,conscrypt,"Use duck typing for checkServerTrusted Instead of casting to the platform TrustManagerImpl to call checkServerTrusted(X509Certificate[], String, String) use reflection to instead lookup the method on the X509TrustManager and use it if present otherwise fall back to checkServerTrusted(X509Certificate[], String). Change-Id: Ia9893cc4ac0e9f844246624723ae9cb33101e85b/Merge AOSP version of Conscrypt into mnc-ub-dev This adds support for the latest BoringSSL revision and fixes quite a few bugs. Change-Id: I6eafb04d7c15d3b365191d1fe2fe107308cea894/Move BlockGuard and CloseGuard to Platform This was causing issues on Gingerbread devices since CloseGuard was not in that release yet. Move them out to Platform so we can filter on release when we decide whether to instantiate or not. (cherry picked from commit 126ec77aacd58c8b5d62d433af65386fa3dd3fc1) Bug: 24607028 Change-Id: Iba0bbb0b878076319ace40f848aa5e307e2c3ad8/Move BlockGuard and CloseGuard to Platform This was causing issues on Gingerbread devices since CloseGuard was not in that release yet. Move them out to Platform so we can filter on release when we decide whether to instantiate or not. Bug: 24607028 Change-Id: Iba0bbb0b878076319ace40f848aa5e307e2c3ad8/"
,,0.0848,conscrypt,Merge AOSP version of Conscrypt into mnc-ub-dev This adds support for the latest BoringSSL revision and fixes quite a few bugs. Change-Id: I6eafb04d7c15d3b365191d1fe2fe107308cea894/
,,0.2168,conscrypt,"Use duck typing for checkServerTrusted Instead of casting to the platform TrustManagerImpl to call checkServerTrusted(X509Certificate[], String, String) use reflection to instead lookup the method on the X509TrustManager and use it if present otherwise fall back to checkServerTrusted(X509Certificate[], String). Change-Id: Ia9893cc4ac0e9f844246624723ae9cb33101e85b/Merge AOSP version of Conscrypt into mnc-ub-dev This adds support for the latest BoringSSL revision and fixes quite a few bugs. Change-Id: I6eafb04d7c15d3b365191d1fe2fe107308cea894/Move BlockGuard and CloseGuard to Platform This was causing issues on Gingerbread devices since CloseGuard was not in that release yet. Move them out to Platform so we can filter on release when we decide whether to instantiate or not. (cherry picked from commit 126ec77aacd58c8b5d62d433af65386fa3dd3fc1) Bug: 24607028 Change-Id: Iba0bbb0b878076319ace40f848aa5e307e2c3ad8/Move BlockGuard and CloseGuard to Platform This was causing issues on Gingerbread devices since CloseGuard was not in that release yet. Move them out to Platform so we can filter on release when we decide whether to instantiate or not. Bug: 24607028 Change-Id: Iba0bbb0b878076319ace40f848aa5e307e2c3ad8/"
,,0.3425,conscrypt,"Unbreak Conscrypt when its built against OpenSSL. (cherry picked from commit 179e1d5f63fdc69f35e755d3fe34f9e93168a71f) Change-Id: I28c6f123fa3bbe084bdee4a4615a67ca7319234e/Make EVP_DigestSignFinal throw when signature too big. This fixes NativeCrypto.EVP_DigestSignFinal to unconditionally throw a RuntimeException when the generated signature is larger than expected. Change-Id: I56d77adbb0cbc004d941a2cfcb30482450a1ddbf/Unbreak Conscrypt when its built against OpenSSL. Change-Id: I28c6f123fa3bbe084bdee4a4615a67ca7319234e/Revert ""external/conscrypt: drop BORINGSSL_201510 ifdefs."" This breaks the unbundled build with OpenSSL. This reverts commit f1754f30b818d8e67800322f24e8f6c623890861. (cherry picked from commit da909c2a58445e7a9b623196ad5f7bc88ad7c0e8) Change-Id: I2f3098414004aeb3f019c28bf0a0085a9d7eb3cc/Clear BoringSSL error queue in NativeCrypto.EVP_DigestVerifyFinal. am: 881c0953d7 * commit 881c0953d7166a5020ba2ec2b6f8c39371a6ded6: Clear BoringSSL error queue in NativeCrypto.EVP_DigestVerifyFinal./Revert ""external/conscrypt: drop BORINGSSL_201510 ifdefs."" This breaks the unbundled build with OpenSSL. This reverts commit f1754f30b818d8e67800322f24e8f6c623890861. Change-Id: I2f3098414004aeb3f019c28bf0a0085a9d7eb3cc/Clear BoringSSL error queue in NativeCrypto.EVP_DigestVerifyFinal. This fixes a bug introduced in b4345a619c1f34e2390210d11476a8619cebd695 where NativeCrypto.EVP_DigestVerifyFinal left the BAD_SIGNATURE error in the BoringSSL error queue when a signature did not verify. Some of the following NativeCrypto operations would then fail because they assumed that it was their BoringSSL calls that generated the BAD_SIGNATURE error. The fix is to unconditionally clear the BoringSSL error queue at the end of NativeCrypto.EVP_DigestVerifyFinal, same as its predecessor NativeCrypto.EVP_VerifyFinal did. Change-Id: I0d092b1b39afa3c6d19a785cbf7dd311ffcd4c04/Merge ""Speed up digesting by avoiding unnecessary operations."" am: 22324dd963 * commit 22324dd9635b9a7fa0b0e524a9313bba524db3ad: Speed up digesting by avoiding unnecessary operations./Merge ""Speed up digesting by avoiding unnecessary operations.""/Speed up digesting by avoiding unnecessary operations. Conscrypts MessageDigest implementations at the end of computing a digest create and initialize a new EVP_MD_CTX and then also intialize the digest struct there. This is done because the MessageDigest instance could be reused for a new digesting session. This change implements three optimizations: 1. MessageDigestSpi now reuses its EVP_MD_CTX instead of creating a new one for each new digesting session. 2. MessageDigestSpi now defers the initialization of the digest struct in EVP_MD_CTX till the first invocation of engineUpdate/engineDigest. 3. MessagDigestSpi (and SignatureSpi) no longer invoke EVP_MD_CTX_init after EVP_MD_CTX_create because EVP_MD_CTX_create initializes the EVP_MD_CTX it creates. libcores MessageDigestBenchmark on Nexus 5 shows: * 10-15% faster performance for a single digest of 8192 bytes. * 15-20% faster performance for reusing a MessageDigest instance to compute a digest of 8192 bytes ten times. Change-Id: I8a0697310ef7efcd4db6870e54eb46102fd4a941/Use poll() instead of select() Since select() has a limit of FD_SETSIZE (typically 1024 on Linux systems) for the highest fd number it will accept, switch to poll() instead to avoid these problems when the app Conscrypt is running under is opening a large amount of file descriptors. Bug: 25390062 Change-Id: Id54a9cc9379e8db8facd2136e84e9e6fd1f5b0f9/Zero-copy HMAC and signing/verification for direct ByteBuffer. Prior to this change, Conscrypts Mac and Signature implementations copied the contents of direct ByteBuffer inputs. This change implements an optimization which avoids the allocation and copying of contents of direct ByteBuffer inputs. Bug: 24674857 Change-Id: I1436839182483fd42318d4b0af4d633283e3453d/Zero-copy digesting for direct ByteBuffer input. Prior to this change, Conscrypts MessageDigest.update(ByteBuffer) invoked for a direct ByteBuffer resulted in the creation of a new byte[] of size ByteBuffer.remaining() and the copying of the ByteBuffers contents into that array. This change implements an optimization which avoids the allocation and copying, by making BoringSSL EVP_DigestUpdate read directly from the memory region represented by the direct ByteBuffer. Change-Id: I112d318128402d1d78e226df9dfe54af55955953/Merge AOSP version of Conscrypt into mnc-ub-dev This adds support for the latest BoringSSL revision and fixes quite a few bugs. Change-Id: I6eafb04d7c15d3b365191d1fe2fe107308cea894/Prepare for BoringSSL update. This change tweaks things as needed so that the code will compile against both the BoringSSL thats currently in Android and a version from upstream. The BORINGSSL_201509 define is temporary to allow the switch to happen without breaking the build and a followup change will remove it. (cherry picked from commit f417aca8ffd57b3817bb24d5a58e01873eecfbde) Change-Id: Ie60d8fc4d88154feaca8ab5ea85645b78a85640f/am d593e6ca: am 79309ee8: am 8acb72c0: Fix typo in previous checkin * commit d593e6ca603fa3a073e9613367dd5ab90d5c5876: Fix typo in previous checkin/am 79309ee8: am 8acb72c0: Fix typo in previous checkin * commit 79309ee8b8d071713d7464f513898a33221b6b31: Fix typo in previous checkin/am 8acb72c0: Fix typo in previous checkin * commit 8acb72c0bdfdf3a19245f85cfb61d122c4d418b3: Fix typo in previous checkin/Fix typo in previous checkin There are still a few builds that use OpenSSL, but its only tested on BoringSSL by default. A character transposition caused this to fail on OpenSSL only. Change-Id: I1b07211a4dbe7dc2e134ce8ddba4b1cfdf627b71/Prepare for BoringSSL update. This change tweaks things as needed so that the code will compile against both the BoringSSL thats currently in Android and a version from upstream. The BORINGSSL_201509 define is temporary to allow the switch to happen without breaking the build and a followup change will remove it. Change-Id: Ie60d8fc4d88154feaca8ab5ea85645b78a85640f/external/conscrypt: allow server-initiated renegotiations. BoringSSL disables server-initiated renegotiations by default. However, its unclear what the impact of this will be. On the other hand, rejecting renegotiations certainly makes things simplier. (cherry picked from commit ed628f94df430278a203da28055b309346b0bce2) Bug: 23189319 Change-Id: I0cd3f04838c0afea665a88d4f0cd0a16c1e811de/"
,,0.0809,conscrypt,Merge AOSP version of Conscrypt into mnc-ub-dev This adds support for the latest BoringSSL revision and fixes quite a few bugs. Change-Id: I6eafb04d7c15d3b365191d1fe2fe107308cea894/
,,0.3595,conscrypt,"Merge ""Speed up digesting by avoiding unnecessary operations."" am: 22324dd963 * commit 22324dd9635b9a7fa0b0e524a9313bba524db3ad: Speed up digesting by avoiding unnecessary operations./Merge ""Speed up digesting by avoiding unnecessary operations.""/Speed up digesting by avoiding unnecessary operations. Conscrypts MessageDigest implementations at the end of computing a digest create and initialize a new EVP_MD_CTX and then also intialize the digest struct there. This is done because the MessageDigest instance could be reused for a new digesting session. This change implements three optimizations: 1. MessageDigestSpi now reuses its EVP_MD_CTX instead of creating a new one for each new digesting session. 2. MessageDigestSpi now defers the initialization of the digest struct in EVP_MD_CTX till the first invocation of engineUpdate/engineDigest. 3. MessagDigestSpi (and SignatureSpi) no longer invoke EVP_MD_CTX_init after EVP_MD_CTX_create because EVP_MD_CTX_create initializes the EVP_MD_CTX it creates. libcores MessageDigestBenchmark on Nexus 5 shows: * 10-15% faster performance for a single digest of 8192 bytes. * 15-20% faster performance for reusing a MessageDigest instance to compute a digest of 8192 bytes ten times. Change-Id: I8a0697310ef7efcd4db6870e54eb46102fd4a941/Zero-copy HMAC and signing/verification for direct ByteBuffer. Prior to this change, Conscrypts Mac and Signature implementations copied the contents of direct ByteBuffer inputs. This change implements an optimization which avoids the allocation and copying of contents of direct ByteBuffer inputs. Bug: 24674857 Change-Id: I1436839182483fd42318d4b0af4d633283e3453d/"
,,0.4002,conscrypt,"Merge ""Speed up digesting by avoiding unnecessary operations."" am: 22324dd963 * commit 22324dd9635b9a7fa0b0e524a9313bba524db3ad: Speed up digesting by avoiding unnecessary operations./Merge ""Speed up digesting by avoiding unnecessary operations.""/Speed up digesting by avoiding unnecessary operations. Conscrypts MessageDigest implementations at the end of computing a digest create and initialize a new EVP_MD_CTX and then also intialize the digest struct there. This is done because the MessageDigest instance could be reused for a new digesting session. This change implements three optimizations: 1. MessageDigestSpi now reuses its EVP_MD_CTX instead of creating a new one for each new digesting session. 2. MessageDigestSpi now defers the initialization of the digest struct in EVP_MD_CTX till the first invocation of engineUpdate/engineDigest. 3. MessagDigestSpi (and SignatureSpi) no longer invoke EVP_MD_CTX_init after EVP_MD_CTX_create because EVP_MD_CTX_create initializes the EVP_MD_CTX it creates. libcores MessageDigestBenchmark on Nexus 5 shows: * 10-15% faster performance for a single digest of 8192 bytes. * 15-20% faster performance for reusing a MessageDigest instance to compute a digest of 8192 bytes ten times. Change-Id: I8a0697310ef7efcd4db6870e54eb46102fd4a941/Zero-copy HMAC and signing/verification for direct ByteBuffer. Prior to this change, Conscrypts Mac and Signature implementations copied the contents of direct ByteBuffer inputs. This change implements an optimization which avoids the allocation and copying of contents of direct ByteBuffer inputs. Bug: 24674857 Change-Id: I1436839182483fd42318d4b0af4d633283e3453d/Zero-copy digesting for direct ByteBuffer input. Prior to this change, Conscrypts MessageDigest.update(ByteBuffer) invoked for a direct ByteBuffer resulted in the creation of a new byte[] of size ByteBuffer.remaining() and the copying of the ByteBuffers contents into that array. This change implements an optimization which avoids the allocation and copying, by making BoringSSL EVP_DigestUpdate read directly from the memory region represented by the direct ByteBuffer. Change-Id: I112d318128402d1d78e226df9dfe54af55955953/Merge AOSP version of Conscrypt into mnc-ub-dev This adds support for the latest BoringSSL revision and fixes quite a few bugs. Change-Id: I6eafb04d7c15d3b365191d1fe2fe107308cea894/external/conscrypt: allow server-initiated renegotiations. BoringSSL disables server-initiated renegotiations by default. However, its unclear what the impact of this will be. On the other hand, rejecting renegotiations certainly makes things simplier. (cherry picked from commit ed628f94df430278a203da28055b309346b0bce2) Bug: 23189319 Change-Id: I0cd3f04838c0afea665a88d4f0cd0a16c1e811de/"
,,0.0828,conscrypt,Merge AOSP version of Conscrypt into mnc-ub-dev This adds support for the latest BoringSSL revision and fixes quite a few bugs. Change-Id: I6eafb04d7c15d3b365191d1fe2fe107308cea894/
,,0.0848,conscrypt,Merge AOSP version of Conscrypt into mnc-ub-dev This adds support for the latest BoringSSL revision and fixes quite a few bugs. Change-Id: I6eafb04d7c15d3b365191d1fe2fe107308cea894/
,,0.2658,conscrypt,"Merge AOSP version of Conscrypt into mnc-ub-dev This adds support for the latest BoringSSL revision and fixes quite a few bugs. Change-Id: I6eafb04d7c15d3b365191d1fe2fe107308cea894/Move BlockGuard and CloseGuard to Platform This was causing issues on Gingerbread devices since CloseGuard was not in that release yet. Move them out to Platform so we can filter on release when we decide whether to instantiate or not. (cherry picked from commit 126ec77aacd58c8b5d62d433af65386fa3dd3fc1) Bug: 24607028 Change-Id: Iba0bbb0b878076319ace40f848aa5e307e2c3ad8/Move BlockGuard and CloseGuard to Platform This was causing issues on Gingerbread devices since CloseGuard was not in that release yet. Move them out to Platform so we can filter on release when we decide whether to instantiate or not. Bug: 24607028 Change-Id: Iba0bbb0b878076319ace40f848aa5e307e2c3ad8/external/conscrypt: allow server-initiated renegotiations. BoringSSL disables server-initiated renegotiations by default. However, its unclear what the impact of this will be. On the other hand, rejecting renegotiations certainly makes things simplier. (cherry picked from commit ed628f94df430278a203da28055b309346b0bce2) Bug: 23189319 Change-Id: I0cd3f04838c0afea665a88d4f0cd0a16c1e811de/"
