,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,15.0,0.944100022315979,"test, use, android, summary, also, change, support, new, compaction, key, test_plan, file, call, type, would, fix, check, add, option, revision_pulle",AI 144418: am: CL 144381 am: CL 144356 Synchronized code that touches native SSL sessions. Original author: crazybob Merged from: //branches/cupcake/... Original author: android-build Automated import of CL 144418/auto import from
1,1,0.0,0.05000000074505806,"change, summary, file, add, new, compaction, test, make, test_plan, also, differential_revision, implementation, call, use, option, create, delete, value, full, index",auto import from
2,2,0.0,0.05000000074505806,"change, summary, file, add, new, compaction, test, make, test_plan, also, differential_revision, implementation, call, use, option, create, delete, value, full, index",auto import from
3,3,0.0,0.05000000074505806,"change, summary, file, add, new, compaction, test, make, test_plan, also, differential_revision, implementation, call, use, option, create, delete, value, full, index",auto import import from
4,4,0.0,0.05000000074505806,"change, summary, file, add, new, compaction, test, make, test_plan, also, differential_revision, implementation, call, use, option, create, delete, value, full, index",auto import from
5,5,0.0,0.05000000074505806,"change, summary, file, add, new, compaction, test, make, test_plan, also, differential_revision, implementation, call, use, option, create, delete, value, full, index",auto import from
6,6,15.0,0.9320999979972839,"test, use, android, summary, also, change, support, new, compaction, key, test_plan, file, call, type, would, fix, check, add, option, revision_pulle",AI 144381: am: CL 144356 Synchronized code that touches native SSL sessions. Original author: crazybob Merged from: //branches/cupcake/... Automated import of CL 144381/auto import from
7,7,0.0,0.05000000074505806,"change, summary, file, add, new, compaction, test, make, test_plan, also, differential_revision, implementation, call, use, option, create, delete, value, full, index",auto import from
8,8,0.0,0.05000000074505806,"change, summary, file, add, new, compaction, test, make, test_plan, also, differential_revision, implementation, call, use, option, create, delete, value, full, index",auto import from
9,9,2.0,0.949999988079071,"file, test_plan, summary, option, make, use, test, add, read, call, change, size, revision, write, case, differential_revision, new, also, fix, table","Each time we start an SSL session, we have to find the trust anchor. This used to be an O(N) operation. If the trust anchor were looking for was close to N, finding it could take a couple seconds. This change makes the operation O(1)./"
10,10,0.0,0.9743000268936157,"change, summary, file, add, new, compaction, test, make, test_plan, also, differential_revision, implementation, call, use, option, create, delete, value, full, index","Fix OpenSSLSessionImpl.getCreationTime and getLastAccessedTime. This addresses one part of this abandoned change from ursg: Ive also tidied up the native method names to use the harmony ""-Impl"" convention, removed useless methods that just forward to a native method, and removed dead code. Ive canonicalized some of the duplication too, but I want to go through the rest of out OpenSSL code before I really start trying to remove the duplication. When this is submitted, Ill fix the other (unrelated) bug the abandoned change addressed./"
11,11,3.0,0.7623999714851379,"use, summary, support, file, test, change, harmony_xnet, revision_pulle, main_java, add, new, closes_differential, remove, check, key, revision, case, also, would, size",Remove duplication in OpenSSLSocket/OpenSSLServerSocket./
12,12,3.0,0.7623999714851379,"use, summary, support, file, test, change, harmony_xnet, revision_pulle, main_java, add, new, closes_differential, remove, check, key, revision, case, also, would, size",Remove duplication in OpenSSLSocket/OpenSSLServerSocket./
