,Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.8432,"time_taken, user, batch_size, test, implementation, bit, result, us_mqps, hash_function, full, performance, count, size_time, functions_time, items_utilization, number_hash, improvement, hash, insert, pass",
1,1.0,0.5383,"test, realm, object, update, change, method, comment, check, annotation, close, null, realmresult, field, create, unit_test, query, core, add, object_store, nullable",
2,2.0,0.6406,"file, read, size, iterator, time, byte, set, enable, option, case, create, version, index, user, base, fifo_compaction, filter, delete, sst_file, rate",
3,3.0,0.5453,"summary, test_plan, differential_revision, revision, sdong_reviewe, sdong_subscriber, dhruba_differential, write, diff, dhruba_leveldb, test, review, igor_subscriber, igor_reviewe, unit_test, rocksdb, make, column_family, yhchiang_subscriber, stat",
4,4.0,0.5717,"support, implement, fix, create, class, method, implementation, handle, interface, table, follow, functionality, return, add, session, refactore, java, utility, external, reason",
5,5.0,0.5394,"change, make, file, close, exist, call, snapshot, update, return, add, set, check, point, status, key, client, support, time, due, internal",
6,6.0,0.8413,"commit, merge, ad, array, buffer, change, remove, reset, call, bug, state, boringssl, instance, exception, enable, root_date, pass, bad, give, track",
7,7.0,0.6005,"log, memtable, file, flush, change, number, key, iterator, patch, recovery, datum, support, deletion, entry, introduce, find, delete, print, logic, follow",
8,8.0,0.4061,"type, remove, add, fix, work, long, issue, string, find, default, message, rename, handle, double, thing, break, require, override, window, map",
9,9.0,0.4818,"call, check, error, create, fail, reference, instance, implement, pass, lock, empty, object, result, run, case, free, thread, issue, generate, change",
10,10.0,0.6154,"pointer, avoid, git_svn, native, load, field, structure, type, read, callback, library, include, provide, miss, branch, make, improve, call, extract, explicitly",
11,11.0,0.6295,"support, key, readseq_micro, provide, make, test, cipher_suite, base, signature, enable, work, implementation, sign, connection, expose, set, list, cipher, exception, handshake",
12,12.0,0.8516,"harmony_xnet, main_java, change, test, nativecrypto, socket, jsse_java, instance, native, implementation, xnet_provider, add, pass, remove, client, exception, properly, certificate, move, class","(13, '0.145*""android"" + 0.032*""cleanup"" + 0.031*""refactor"" + 0.020*""fix"" + 0.020*""update"" + 0.019*""common"" + 0.019*""transfer"" + 0.017*""start"" + 0.015*""show"" + 0.015*""search""')"
13,13.0,0.6499,"android, cleanup, refactor, fix, update, common, transfer, start, show, search, issue, dialog, stop, song, action, view, fragment, play, seed, download",
14,14.0,0.5305,"test, make, case, add, error, fail, parameter, db_stress, expect, transaction, fix, default, memory, build, change, limit, set, format, false, testing",
15,15.0,0.5056,"test, add, thread, option, change, run, mode, call, move, update, fix, warning, group, key, base, build, time, current, disable, rely",
16,16.0,0.5504,"block, add, table, file, issue, block_cache, property, fix, case, end, small, format, env, user, sample, problem, generate, find, leveldb, output",
17,17.0,0.5315,"compaction, file, level, run, option, number, write, bug, size, set, compact, trigger, output, current, manual_compaction, multiple, key, delete, move, compression",
18,18.0,0.5236,"revision_pulle, summary, closes_differential, write, option, yiwu_arbug, maysamyabandeh_fbshipit, update, file, read, ajkr_fbshipit, cc, blob, patch, fbshipit_source, transaction, flag, sequence_number, pull_request, rocksdb",
19,19.0,0.4636,"summary, test_plan, reviewer, revision, review, test, unit_test, leveldb_differential, run, differential_revision, case, backup, add, dhruba_haobo, option, open, database, rocksdb, check, delete",
